id,name,pos,team,img
giannisantetokounmpo-PF,Giannis Antetokounmpo,PF,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032977.png&w=96&h=70&cb=1
gogabitadze-C,Goga Bitadze,C,ORL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4348700.png&w=96&h=70&cb=1
gordonhayward-SF,Gordon Hayward,SF,CHA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4249.png&w=96&h=70&cb=1
gradeydick-SG,Gradey Dick,SG,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5106258.png&w=96&h=70&cb=1
grantwilliams-PF,Grant Williams,PF,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066218.png&w=96&h=70&cb=1
graysonallen-SG,Grayson Allen,SG,PHX,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3135045.png&w=96&h=70&cb=1
harrisonbarnes-SF,Harrison Barnes,SF,SAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6578.png&w=96&h=70&cb=1
haywoodhighsmith-SF,Haywood Highsmith,SF,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4291678.png&w=96&h=70&cb=1
herbertjones-PF,Herbert Jones,PF,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277813.png&w=96&h=70&cb=1
immanuelquickley-PG,Immanuel Quickley,PG,NY,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395724.png&w=96&h=70&cb=1
isaacokoro-SF,Isaac Okoro,SF,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432822.png&w=96&h=70&cb=1
isaiahhartenstein-C,Isaiah Hartenstein,C,NY,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4222252.png&w=96&h=70&cb=1
isaiahjackson-PF,Isaiah Jackson,PF,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432170.png&w=96&h=70&cb=1
isaiahjoe-SG,Isaiah Joe,SG,OKC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395702.png&w=96&h=70&cb=1
isaiahstewart-C,Isaiah Stewart,C,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432810.png&w=96&h=70&cb=1
ivicazubac-C,Ivica Zubac,C,LAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4017837.png&w=96&h=70&cb=1
jabarismithjr-PF,Jabari Smith Jr,PF,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4871144.png&w=96&h=70&cb=1
jadenivey-PG,Jaden Ivey,PG,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433218.png&w=96&h=70&cb=1
jadenmcdaniels-SF,Jaden McDaniels,SF,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431671.png&w=96&h=70&cb=1
jaecrowder-PF,Jae Crowder,PF,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6581.png&w=96&h=70&cb=1
jaimejaquezjr-SF,Jaime Jaquez Jr,SF,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432848.png&w=96&h=70&cb=1
jakobpoeltl-C,Jakob Poeltl,C,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3913176.png&w=96&h=70&cb=1
jalenbrunson-PG,Jalen Brunson,PG,NY,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3934672.png&w=96&h=70&cb=1
jalenduren-C,Jalen Duren,C,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433621.png&w=96&h=70&cb=1
jalengreen-SG,Jalen Green,SG,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395628.png&w=96&h=70&cb=1
jalenjohnson-SF,Jalen Johnson,SF,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4701230.png&w=96&h=70&cb=1
jalensmith-PF,Jalen Smith,PF,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397189.png&w=96&h=70&cb=1
jalensuggs-PG,Jalen Suggs,PG,ORL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432165.png&w=96&h=70&cb=1
jalenwilliams-SG,Jalen Williams,SG,OKC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066259.png&w=96&h=70&cb=1
jamalmurray-PG,Jamal Murray,PG,DEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3936299.png&w=96&h=70&cb=1
jamesharden-SG,James Harden,SG,LAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=96&h=70&cb=1
jameswiseman-C,James Wiseman,C,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432808.png&w=96&h=70&cb=1
jamorant-PG,Ja Morant,PG,MEM,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4279888.png&w=96&h=70&cb=1
jaracewalker-PF,Jarace Walker,PF,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5106060.png&w=96&h=70&cb=1
jarenjacksonjr-PF,Jaren Jackson Jr,PF,MEM,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277961.png&w=96&h=70&cb=1
jarredvanderbilt-PF,Jarred Vanderbilt,PF,LAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278077.png&w=96&h=70&cb=1
jarrettallen-C,Jarrett Allen,C,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3917376.png&w=96&h=70&cb=1
jaylenbrown-SG,Jaylen Brown,SG,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3917376.png&w=96&h=70&cb=1
jaysontatum-SF,Jayson Tatum,SF,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065648.png&w=96&h=70&cb=1
jeramigrant-PF,Jerami Grant,PF,POR,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6442.png&w=96&h=70&cb=1
jeremysochan-PF,Jeremy Sochan,PF,SA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4610139.png&w=96&h=70&cb=1
jimmybutler-SF,Jimmy Butler,SF,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6430.png&w=96&h=70&cb=1
joelembiid-C,Joel Embiid,C,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3059318.png&w=96&h=70&cb=1
johncollins-PF,John Collins,PF,UTAH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3936299.png&w=96&h=70&cb=1
johnkonchar-SG,John Konchar,SG,MEM,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134932.png&w=96&h=70&cb=1
johnwall-PG,John Wall,PG,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4237.png&w=96&h=70&cb=1
jonasvalanciunas-C,Jonas Valanciunas,C,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277905.png&w=96&h=70&cb=1
jonathanisaac-PF,Jonathan Isaac,PF,ORL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065654.png&w=96&h=70&cb=1
jonathankuminga-PF,Jonathan Kuminga,PF,GS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433247.png&w=96&h=70&cb=1
jordanclarkson-SG,Jordan Clarkson,SG,UTAH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528426.png&w=96&h=70&cb=1
jordangoodwin-SG,Jordan Goodwin,SG,PHX,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278402.png&w=96&h=70&cb=1
jordanhawkins-SG,Jordan Hawkins,SG,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683750.png&w=96&h=70&cb=1
jordanpoole-SG,Jordan Poole,SG,WSH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1966.png&w=96&h=70&cb=1
josealvarado-PG,Jose Alvarado,PG,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277869.png&w=96&h=70&cb=1
joshgiddey-PG,Josh Giddey,PG,OKC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3147657.png&w=96&h=70&cb=1
joshgreen-SG,Josh Green,SG,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432811.png&w=96&h=70&cb=1
joshhart-SG,Josh Hart,SG,NY,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3062679.png&w=96&h=70&cb=1
joshokogie-SG,Josh Okogie,SG,PHX,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065663.png&w=96&h=70&cb=1
joshrichardson-SG,Josh Richardson,SG,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2581190.png&w=96&h=70&cb=1
jrueholiday-PG,Jrue Holiday,PG,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032977.png&w=96&h=70&cb=1
juliusrandle-PF,Julius Randle,PF,NY,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064514.png&w=96&h=70&cb=1
jusufnurkic-C,Jusuf Nurkic,C,PHX,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066336.png&w=96&h=70&cb=1
karlanthonytowns-C,KarlAnthony Towns,C,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136195.png&w=96&h=70&cb=1
kawhileonard-SF,Kawhi Leonard,SF,LAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6450.png&w=96&h=70&cb=1
keeganmurray-PF,Keegan Murray,PF,SAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433255.png&w=96&h=70&cb=1
keldonjohnson-SF,Keldon Johnson,SF,SA,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4251.png&w=96&h=70&cb=1
kellyolynyk-C,Kelly Olynyk,C,UTAH,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2489663.png&w=96&h=70&cb=1
kellyoubrejr-PF,Kelly Oubre Jr,PF,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3133603.png&w=96&h=70&cb=1
