id,name,pos,team,img
coltsdst-DST,Colts DST,DST,IND,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ind.png&h=188&w=188&w=96&h=70&cb=1
cooperkupp-WR,Cooper Kupp,WR,LAR,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2977187.png&w=96&h=70&cb=1
courtlandsutton-WR,Courtland Sutton,WR,DEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128429.png&w=96&h=70&cb=1
cowboysdst-DST,Cowboys DST,DST,DAL,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/dal.png&h=188&w=188&w=96&h=70&cb=1
curtissamuel-WR,Curtis Samuel,WR,BUF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3121427.png&w=96&h=70&cb=1
dakprescott-QB,Dak Prescott,QB,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2577417.png&w=96&h=70&cb=1
dallasgoedert-TE,Dallas Goedert,TE,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3121023.png&w=96&h=70&cb=1
daltonkincaid-TE,Dalton Kincaid,TE,BUF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4385690.png&w=96&h=70&cb=1
daltonschultz-TE,Dalton Schultz,TE,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3117256.png&w=96&h=70&cb=1
dalvincook-RB,Dalvin Cook,RB,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3116593.png&w=96&h=70&cb=1
dandreswift-RB,DAndre Swift,RB,CHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4259545.png&w=96&h=70&cb=1
danielcarlson-K,Daniel Carlson,K,LV,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3051909.png&w=96&h=70&cb=1
danieljones-QB,Daniel Jones,QB,NYG,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3917792.png&w=96&h=70&cb=1
darnellmooney-WR,Darnell Mooney,WR,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4040655.png&w=96&h=70&cb=1
davanteadams-WR,Davante Adams,WR,LV,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png&w=96&h=70&cb=1
davidmontgomery-RB,David Montgomery,RB,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4035538.png&w=96&h=70&cb=1
davidnjoku-TE,David Njoku,TE,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3123076.png&w=96&h=70&cb=1
deandrehopkins-WR,DeAndre Hopkins,WR,TEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15795.png&w=96&h=70&cb=1
deebosamuelsr-WR,Deebo Samuel Sr,WR,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3126486.png&w=96&h=70&cb=1
demarcusrobinson-WR,Demarcus Robinson,WR,LAR,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3043116.png&w=96&h=70&cb=1
demariodouglas-WR,DeMario Douglas,WR,NE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4427095.png&w=96&h=70&cb=1
derrickhenry-RB,Derrick Henry,RB,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3043078.png&w=96&h=70&cb=1
deshaunwatson-QB,Deshaun Watson,QB,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3122840.png&w=96&h=70&cb=1
devinsingletary-RB,Devin Singletary,RB,NYG,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4040761.png&w=96&h=70&cb=1
devonachane-RB,DeVon Achane,RB,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4429160.png&w=96&h=70&cb=1
devontasmith-WR,DeVonta Smith,WR,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4241478.png&w=96&h=70&cb=1
diontaejohnson-WR,Diontae Johnson,WR,CAR,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3932905.png&w=96&h=70&cb=1
djcharkjr-WR,DJ Chark Jr,WR,LAC,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115394.png&w=96&h=70&cb=1
djmoore-WR,DJ Moore,WR,CHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3915416.png&w=96&h=70&cb=1
dkmetcalf-WR,DK Metcalf,WR,SEA,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4047650.png&w=96&h=70&cb=1
dolphinsdst-DST,Dolphins DST,DST,MIA,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/mia.png&h=188&w=188&w=96&h=70&cb=1
dontayvionwicks-WR,Dontayvion Wicks,WR,GB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4428850.png&w=96&h=70&cb=1
drakelondon-WR,Drake London,WR,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4426502.png&w=96&h=70&cb=1
