week,manager_id,slot_idx,player_id,aquired
1,2,16,tankbigsby-RB,Draft
1,3,1,jalenhurts-QB,Draft
1,3,2,camakers-RB,Draft
1,3,3,deonjackson-RB,Free Agency
1,3,4,justinjefferson-WR,Draft
1,3,5,chrisgodwin-WR,Draft
1,3,6,evanengram-TE,Draft
1,3,7,brandincooks-WR,Draft
1,3,8,ravensdst-DST,Draft
1,3,9,jasonmyers-K,Draft
1,3,10,breecehall-RB,Draft
1,3,11,jerryjeudy-WR,Draft
1,3,12,tylerboyd-WR,Draft
1,3,13,odellbeckhamjr-WR,Draft
1,3,14,ezekielelliott-RB,Draft
1,3,15,kjosborn-WR,Draft
1,3,16,zackmoss-RB,Free Agency
1,3,17,jonathantaylor-RB,Draft
1,4,1,justinfields-QB,Draft
1,4,2,joemixon-RB,Draft
1,4,3,rachaadwhite-RB,Draft
1,4,4,amonrastbrown-WR,Draft
1,4,5,keenanallen-WR,Draft
1,4,6,noahgray-TE,Free Agency
1,4,7,alexandermattison-RB,Draft
1,4,8,dolphinsdst-DST,Draft
1,4,9,danielcarlson-K,Draft
1,4,10,traviskelce-TE,Draft
1,4,11,tylerlockett-WR,Draft
1,4,12,brandonaiyuk-WR,Draft
1,4,13,jakobimeyers-WR,Draft
1,4,14,antoniogibson-RB,Draft
1,4,15,tuatagovailoa-QB,Draft
1,4,16,samajeperine-RB,Draft
1,5,1,deshaunwatson-QB,Draft
1,5,2,derrickhenry-RB,Draft
1,5,3,aaronjones-RB,Draft
1,5,4,stefondiggs-WR,Draft
1,5,5,dkmetcalf-WR,Draft
1,5,6,georgekittle-TE,Draft
1,5,7,diontaejohnson-WR,Draft
1,5,8,billsdst-DST,Draft
1,5,9,evanmcpherson-K,Draft
1,5,10,isiahpacheco-RB,Draft
1,5,11,dalvincook-RB,Draft
1,5,12,jujusmithschuster-WR,Draft
1,5,13,aaronrodgers-QB,Draft
1,5,14,darnellmooney-WR,Draft
1,5,15,zayjones-WR,Draft
1,5,16,tylerallgeier-RB,Draft
1,6,1,patrickmahomes-QB,Draft
1,6,2,austinekeler-RB,Draft
1,6,3,kennethwalkeriii-RB,Draft
1,6,4,garrettwilson-WR,Draft
1,6,5,deebosamuel-WR,Draft
1,6,6,patfreiermuth-TE,Draft
1,6,7,deandrehopkins-WR,Draft
1,6,8,saintsdst-DST,Draft
1,6,9,tylerbass-K,Draft
1,6,10,marquisebrown-WR,Draft
