week,id,injury,opp,proj,prev_score,roster,roster_change,total_pts,avg_pts
0,jonathantaylor-RB,O,JAX,0.0,,98.2,-1.1,0.0,16.5
0,jordanaddison-WR,,TB,9.4,,84.1,3.8,9.4,11.1
0,jordanlove-QB,,@CHI,15.0,,15.4,2.6,15.0,14.1
0,joshallen-QB,,@NYJ,21.2,,99.9,0.0,21.2,22.4
0,joshjacobs-RB,,@DEN,16.5,,99.8,0.1,16.5,17.8
0,joshuakelley-RB,,MIA,5.9,,10.2,4.4,5.9,8.1
0,jujusmithschuster-WR,,PHI,10.8,,83.3,1.8,10.8,11.2
0,justinfields-QB,,GB,19.5,,97.6,0.8,19.5,20.6
0,justinherbert-QB,,MIA,16.9,,97.8,1.3,16.9,18.5
0,justinjefferson-WR,,TB,20.1,,99.9,0.0,20.1,21.5
0,justintucker-K,,HOU,8.8,,99.9,0.1,8.8,8.6
0,juwanjohnson-TE,,TEN,8.0,,22.1,7.4,8.0,8.0
0,kadariustoney-WR,Q,DET,9.0,,54.0,1.0,9.0,8.8
0,kareemhunt-RB,,,,,8.8,2.1,0.0,0.0
0,keenanallen-WR,,MIA,14.1,,98.9,0.5,14.1,14.4
0,kendremiller-RB,Q,TEN,6.4,,10.7,-3.2,6.4,3.9
0,kennethgainwell-RB,,@NE,4.3,,22.8,3.7,4.3,6.3
0,kennethwalkeriii-RB,,LAR,14.5,,96.3,1.6,14.5,14.1
0,kennypickett-QB,,SF,14.4,,38.0,8.3,14.4,16.0
0,khalilherbert-RB,,GB,11.2,,86.0,4.3,11.2,12.0
0,kirkcousins-QB,,TB,17.4,,89.2,2.1,17.4,17.8
0,kjosborn-WR,,TB,7.9,,32.6,4.3,7.9,9.3
0,kylepitts-TE,,CAR,10.1,,96.6,1.7,10.1,10.7
0,kylermurray-QB,O,@WSH,0.0,,18.4,-1.2,0.0,17.8
0,kyrenwilliams-RB,,@SEA,5.3,,10.3,4.0,5.3,6.6
0,lamarjackson-QB,,HOU,22.5,,99.7,0.1,22.5,21.9
0,lukemusgrave-TE,,@CHI,6.0,,6.2,1.9,6.0,6.1
0,markandrews-TE,Q,HOU,13.4,,99.8,0.0,13.4,13.8
0,marquezvaldesscantling-WR,,DET,8.6,,22.2,0.1,8.6,8.8
0,marquisebrown-WR,,@WSH,12.0,,91.2,2.4,12.0,12.9
0,marvinmimsjr-WR,,LV,8.1,,10.6,6.3,8.1,7.7
0,mattgay-K,,JAX,8.0,,54.6,0.1,8.0,7.7
0,matthewstafford-QB,,@SEA,16.3,,31.2,1.8,16.3,15.8
0,mecolehardmanjr-WR,Q,BUF,6.6,,4.7,0.2,6.6,7.6
0,michaelgallup-WR,,@NYG,9.4,,63.9,0.8,9.4,10.4
0,michaelpittmanjr-WR,,JAX,12.0,,89.9,2.0,12.0,11.9
0,michaelthomas-WR,,TEN,12.2,,86.9,1.4,12.2,12.6
0,mikeevans-WR,Q,@MIN,13.8,,94.9,0.9,13.8,13.6
0,mikegesicki-TE,Q,PHI,7.1,,12.4,-1.9,7.1,7.2
0,mikewilliams-WR,,MIA,12.8,,93.7,2.4,12.8,13.4
0,milessanders-RB,Q,@ATL,14.2,,95.3,1.3,14.2,14.4
0,najeeharris-RB,,SF,13.4,,99.3,0.3,13.4,15.4
0,nickchubb-RB,,CIN,15.5,,99.9,0.1,15.5,17.0
0,nicocollins-WR,,@BAL,10.1,,57.0,11.8,10.1,9.9
0,odellbeckhamjr-WR,,HOU,10.7,,87.7,1.4,10.7,11.7
0,packersdst-DST,,@CHI,6.1,,55.5,-4.6,6.1,6.4
0,panthersdst-DST,,@ATL,6.2,,23.4,5.8,6.2,6.8
0,parriscampbell-WR,,DAL,6.6,,20.6,6.9,6.6,7.5
0,patfreiermuth-TE,,SF,9.5,,92.2,2.2,9.5,9.9
0,patrickmahomes-QB,,DET,24.8,,99.9,0.0,24.8,23.2
0,patriotsdst-DST,,PHI,4.2,,70.8,-0.7,4.2,6.3
0,quentinjohnston-WR,,MIA,6.2,,72.5,2.3,6.2,9.8
0,rachaadwhite-RB,,@MIN,14.0,,95.7,1.5,14.0,14.3
0,raheemmostert-RB,,@LAC,12.0,,69.7,9.5,12.0,11.3
0,rashaadpenny-RB,,@NE,7.9,,72.8,0.9,7.9,9.8
0,rasheerice-WR,,DET,5.0,,10.4,0.3,5.0,6.3
0,rashodbateman-WR,,HOU,6.5,,17.0,3.7,6.5,8.1
0,ravensdst-DST,,HOU,8.4,,68.3,3.0,8.4,5.5
0,rhamondrestevenson-RB,,PHI,15.0,,98.7,0.5,15.0,15.7
0,rileypatterson-K,,@KC,8.0,,6.8,2.4,8.0,8.1
0,romeodoubs-WR,Q,@CHI,7.6,,19.3,2.8,7.6,8.4
0,rondalemoore-WR,,@WSH,9.4,,68.5,0.4,9.4,10.4
0,roschonjohnson-RB,,GB,1.6,,21.6,8.5,1.6,3.8
0,russellwilson-QB,,LV,18.7,,68.9,-1.1,18.7,17.0
0,ryantannehill-QB,,@NO,14.5,,4.7,1.0,14.5,15.1
0,saintsdst-DST,,TEN,6.6,,91.0,3.1,6.6,7.9
0,samajeperine-RB,,LV,12.4,,79.4,1.3,12.4,11.4
0,samhowell-QB,,ARI,16.6,,9.1,3.3,16.6,14.9
0,samlaporta-TE,,@KC,7.4,,26.2,8.3,7.4,7.4
0,saquonbarkley-RB,,DAL,16.9,,99.9,0.0,16.9,18.1
0,seahawksdst-DST,,LAR,5.1,,7.8,-2.0,5.1,4.8
0,skyymoore-WR,,DET,10.8,,81.9,7.2,10.8,11.2
0,steelersdst-DST,,SF,7.0,,96.5,0.7,7.0,7.9
0,stefondiggs-WR,,@NYJ,16.0,,99.9,0.0,16.0,17.5
0,tankbigsby-RB,,@IND,5.4,,26.2,9.2,5.4,6.7
0,tankdell-WR,,@BAL,4.3,,4.7,0.1,4.3,5.9
0,taysomhill-TE,Q,TEN,5.7,,6.1,0.5,5.7,4.8
0,teehiggins-WR,,@CLE,14.6,,99.7,0.1,14.6,15.2
0,terrymclaurin-WR,Q,ARI,13.1,,94.5,0.8,13.1,13.3
0,tjhockenson-TE,Q,TB,12.5,,99.5,0.1,12.5,12.8
0,tonypollard-RB,,@NYG,17.5,,99.8,0.1,17.5,17.5
0,travisetiennejr-RB,,@IND,15.0,,99.4,0.3,15.0,15.4
0,traviskelce-TE,,DET,18.9,,99.9,0.0,18.9,18.6
0,trevorlawrence-QB,,@IND,18.4,,95.3,1.7,18.4,17.6
0,treylonburks-WR,,@NO,9.8,,79.6,-0.6,9.8,11.7
0,tuatagovailoa-QB,,@LAC,17.7,,86.3,2.1,17.7,17.2
0,tyjaespears-RB,,@NO,3.4,,11.7,4.6,3.4,6.5
0,tylerallgeier-RB,,CAR,6.6,,42.1,10.3,6.6,8.4
0,tylerbass-K,,@NYJ,8.0,,87.0,2.9,8.0,8.2
0,tylerboyd-WR,,@CLE,8.1,,56.6,2.7,8.1,10.0
0,tylerconklin-TE,,BUF,7.1,,16.4,3.6,7.1,7.5
0,tylerhigbee-TE,,@SEA,9.7,,81.6,1.6,9.7,9.5
0,tylerlockett-WR,,LAR,13.7,,93.4,2.5,13.7,13.3
0,tyreekhill-WR,,@LAC,20.5,,99.9,0.0,20.5,19.6
0,vanjefferson-WR,,@SEA,9.3,,13.6,6.2,9.3,9.0
0,younghoekoo-K,,CAR,7.9,,74.0,-1.0,7.9,7.9
0,zachcharbonnet-RB,,LAR,7.6,,66.3,2.8,7.6,8.6
0,zachertz-TE,Q,@WSH,6.2,,52.1,9.7,6.2,8.6
0,zackmoss-RB,Q,JAX,0.0,,6.7,4.2,0.0,6.6
0,zayflowers-WR,,HOU,9.3,,80.6,6.0,9.3,10.7
0,zayjones-WR,,@IND,8.7,,30.2,2.0,8.7,9.3
1,49ersdst-DST,,@PIT,7.8,,99.8,0.1,7.8,0.0
1,aaronjones-RB,,@CHI,15.2,,99.6,0.3,15.2,0.0
1,aaronrodgers-QB,,BUF,15.8,,89.5,1.8,15.8,0.0
1,adamthielen-WR,Q,@ATL,9.6,,68.9,-0.8,9.6,0.0
1,ajbrown-WR,,@NE,14.6,,99.9,0.0,14.6,0.0
1,ajdillon-RB,,@CHI,10.9,,89.1,2.5,10.9,0.0
1,alecpierce-WR,,JAX,7.5,,6.7,0.3,7.5,0.0
1,alexandermattison-RB,,TB,14.5,,96.2,3.6,14.5,0.0
1,allenlazard-WR,,BUF,9.4,,50.8,-3.5,9.4,0.0
1,alvinkamara-RB,SSPD,TEN,0.0,,96.1,1.5,0.0,0.0
1,amaricooper-WR,,CIN,13.6,,98.9,0.7,13.6,0.0
1,amonrastbrown-WR,,@KC,16.7,,99.9,0.1,16.7,0.0
1,anthonyrichardson-QB,,JAX,16.7,,77.4,1.0,16.7,0.0
1,antoniogibson-RB,,ARI,10.7,,84.0,2.3,10.7,0.0
1,austinekeler-RB,,MIA,17.9,,99.9,0.0,17.9,0.0
1,bengalsdst-DST,,@CLE,5.1,,27.5,-1.8,5.1,0.0
1,bijanrobinson-RB,,CAR,17.2,,99.9,0.2,17.2,0.0
1,billsdst-DST,,@NYJ,5.7,,96.7,-0.5,5.7,0.0
1,brandincooks-WR,,@NYG,11.9,,91.0,2.4,11.9,0.0
1,brandonaiyuk-WR,,@PIT,10.6,,93.7,2.3,10.6,0.0
1,brandonmcmanus-K,,@IND,8.3,,26.5,6.1,8.3,0.0
1,breecehall-RB,Q,BUF,7.5,,96.4,0.7,7.5,0.0
1,brettmaher-K,,,,,11.5,-22.4,0.0,0.0
1,brianrobinsonjr-RB,,ARI,11.3,,87.5,2.4,11.3,0.0
1,brockpurdy-QB,,@PIT,13.8,,25.2,2.3,13.8,0.0
1,broncosdst-DST,,LV,5.2,,7.6,0.2,5.2,0.0
1,brownsdst-DST,,CIN,5.8,,65.1,3.9,5.8,0.0
1,bryceyoung-QB,,@ATL,14.2,,18.6,-1.3,14.2,0.0
1,buccaneersdst-DST,,@MIN,4.6,,9.7,-1.3,4.6,0.0
1,cairosantos-K,,GB,8.1,,15.6,2.3,8.1,0.0
1,calvinridley-WR,,@IND,14.2,,99.0,1.4,14.2,0.0
1,camakers-RB,,@SEA,13.6,,94.7,2.5,13.6,0.0
1,camerondicker-K,,MIA,8.0,,32.6,7.1,8.0,0.0
1,ceedeelamb-WR,,@NYG,17.7,,99.9,0.0,17.7,0.0
1,chaseclaypool-WR,,GB,7.7,,17.7,-0.3,7.7,0.0
1,chiefsdst-DST,,DET,4.8,,10.9,-1.5,4.8,0.0
1,chigoziemokonkwo-TE,,@NO,8.0,,49.5,9.1,8.0,0.0
1,chrisboswell-K,,SF,7.2,,5.2,0.2,7.2,0.0
1,chrisgodwin-WR,,@MIN,14.1,,97.1,1.4,14.1,0.0
1,chrisolave-WR,,TEN,14.4,,99.5,0.5,14.4,0.0
1,christiankirk-WR,,@IND,12.3,,92.9,2.5,12.3,0.0
1,christianmccaffrey-RB,,@PIT,17.3,,100.0,0.0,17.3,0.0
1,christianwatson-WR,Q,@CHI,13.6,,97.7,1.1,13.6,0.0
1,chubahubbard-RB,,@ATL,5.9,,11.9,-1.6,5.9,0.0
1,cjstroud-QB,,@BAL,12.9,,8.4,-0.4,12.9,0.0
1,clydeedwardshelaire-RB,,DET,5.5,,10.2,1.1,5.5,0.0
1,colekmet-TE,,GB,8.5,,86.2,2.5,8.5,0.0
1,commandersdst-DST,,ARI,8.2,,55.2,14.5,8.2,0.0
1,cooperkupp-WR,O,@SEA,0.0,,99.9,0.0,0.0,0.0
