week,id,injury,opp,proj,prev_score,roster,roster_change,total_pts,avg_pts
0,jorgelopez-RP,,@CHW,,,28.5,-2.6,181.0,3.9
0,jorgemateo-SS,,@KC,,,73.8,11.0,187.0,1.4
0,jorgepolanco-2B,,@CHW,,,62.3,6.1,271.0,2.6
0,jorgesoler-OF,,ATL,,,9.6,-3.1,196.0,1.9
0,joseabreu-1B,,SF,,,76.5,-6.7,365.0,2.5
0,josealtuve-2B,IL10,SF,,,94.7,0.0,319.0,3.2
0,josealvarado-RP,,@LAD,,,59.6,25.0,104.0,1.7
0,joseberrios-SP,,@BOS,,,70.9,7.4,321.0,10.7
0,joseleclerc-RP,,ARI,,,9.5,-3.6,198.0,3.7
0,josemiranda-1B,,@CHW,,,57.0,0.5,331.0,2.4
0,josequijada-RP,IL15,@STL,,,5.7,-8.8,74.0,1.6
0,josequintana-SP,IL60,@DET,,,1.3,0.0,141.0,9.4
0,joseramirez-3B,,@NYY,,,99.9,0.0,562.0,3.5
0,josesiri-OF,,PIT,,,2.6,-2.0,161.0,1.3
0,josetrevino-C,,CLE,,,3.2,-0.2,143.0,1.4
0,joseurquidy-SP,IL15,SF,,,13.8,-7.5,284.0,10.1
0,joshbell-1B,,@NYY,,,69.5,-1.7,374.0,2.4
0,joshdonaldson-3B,IL10,CLE,,,3.8,-0.3,192.0,2.0
0,joshfleming-RP,,PIT,,,1.3,0.9,96.0,5.6
0,joshhader-RP,,CIN,,,98.4,0.3,325.0,5.8
0,joshjung-3B,,ARI,,,22.7,2.7,258.0,2.3
0,joshlowe-OF,,PIT,,,48.0,0.7,93.0,2.1
0,joshnaylor-1B,,@NYY,,,43.4,-1.1,278.0,2.1
0,joshrojas-3B,,@TEX,,,18.9,-4.1,289.0,2.0
0,joshwinckowski-SP,,TOR,,,1.7,0.4,59.0,1.7
0,josiahgray-SP,,CHC,,,11.7,8.2,217.0,7.2
0,jpcrawford-SS,,@OAK,,,7.0,0.0,289.0,2.0
0,jtrealmuto-C,,@LAD,,,97.2,-0.4,333.0,2.4
0,juansoto-OF,,CIN,,,99.8,0.0,496.0,3.4
0,juliorodriguez-OF,DTD,@OAK,,,99.1,-0.5,415.0,2.7
0,juliourias-SP,,PHI,,,98.1,-1.2,427.0,13.3
0,juricksonprofar-OF,,MIL,,,11.2,-1.0,278.0,2.5
0,justinsteele-SP,,@WSH,,,86.3,7.9,265.0,9.1
0,justinturner-3B,,TOR,,,53.0,0.8,322.0,2.5
0,justinverlander-SP,IL15,@DET,,,99.3,0.0,388.0,14.9
0,kebryanhayes-3B,,@TB,,,21.4,2.3,276.0,1.9
0,keeganthompson-SP,,@WSH,,,1.4,0.0,113.0,2.4
0,keibertruiz-C,,CHC,,,55.8,-0.2,288.0,2.4
0,kendallgraveman-RP,,MIN,,,9.2,-1.9,186.0,3.0
0,kenleyjansen-RP,,TOR,,,85.6,-1.9,296.0,4.4
0,kentamaeda-SP,IL15,@CHW,,,3.2,-3.2,259.0,10.8
0,ketelmarte-2B,,@TEX,,,73.4,-1.5,318.0,2.4
0,kevingausman-SP,,@BOS,,,99.5,0.3,462.0,14.9
0,kodaisenga-SP,,@DET,,,75.9,-6.6,251.0,10.5
0,koltenwong-2B,,@OAK,,,3.3,-0.4,263.0,2.1
0,krisbryant-OF,,MIL,,,83.0,-1.8,349.0,2.6
0,krisbubic-SP,IL15,BAL,,,1.1,-0.7,81.0,4.3
0,kuttercrawford-SP,,TOR,,,1.1,0.3,84.0,2.2
0,kylebradish-SP,,@KC,,,3.3,-0.7,180.0,9.0
0,kylefinnegan-RP,,CHC,,,7.2,0.7,223.0,3.1
0,kylefreeland-SP,,MIL,,,16.6,-7.8,221.0,6.9
0,kylegibson-SP,,@KC,,,26.5,2.9,218.0,7.0
0,kyleschwarber-OF,,@LAD,,,96.7,-1.1,397.0,2.7
0,kyletucker-OF,,SF,,,99.8,0.0,458.0,3.2
0,kylewright-SP,,@MIA,,,69.9,-3.7,333.0,11.9
0,lamontewadejr-OF,,@HOU,,,5.5,4.5,187.0,1.8
0,lancelynn-SP,,MIN,,,72.0,-6.5,331.0,12.3
0,lancemccullersjr-SP,IL15,SF,,,50.1,0.1,263.0,11.4
0,lanethomas-OF,,CHC,,,3.6,-1.0,251.0,1.7
0,larsnootbaar-OF,,LAA,,,21.2,-2.0,309.0,2.1
0,liamhendriks-RP,IL15,MIN,,,18.7,1.3,90.0,4.5
0,loganallen-SP,,@NYY,,,15.9,10.6,32.0,2.3
0,logangilbert-SP,,@OAK,,,93.3,-1.2,369.0,11.5
0,loganohoppe-C,IL60,@STL,,,13.7,-11.4,160.0,2.7
0,loganwebb-SP,,@HOU,,,94.9,0.1,415.0,13.0
0,lourdesgurrieljr-OF,,@TEX,,,9.3,-0.5,272.0,2.2
0,lucasgiolito-SP,,MIN,,,84.7,-2.2,353.0,11.4
0,luisarraez-1B,,ATL,,,97.4,-0.1,361.0,2.5
0,luiscastillo-SP,,@OAK,,,99.5,0.0,414.0,13.4
0,luisgarcia-SP,DTD,SF,,,82.2,5.2,368.0,12.3
0,luisgarcia-SS,,CHC,,,4.7,-0.2,276.0,2.2
0,luisrobertjr-OF,DTD,MIN,,,84.0,-9.5,352.0,2.6
0,luisseverino-SP,IL15,CLE,,,71.0,-0.4,343.0,12.7
0,luisurias-3B,IL60,@COL,,,12.1,-1.2,272.0,1.9
0,mackenziegore-SP,,CHC,,,27.2,9.4,122.0,5.1
0,mannymachado-3B,,CIN,,,99.8,0.0,471.0,3.1
0,manuelmargot-OF,,PIT,,,3.7,-0.5,266.0,2.0
0,marcogonzales-SP,,@OAK,,,5.5,1.9,249.0,8.0
0,marcussemien-2B,,ARI,,,99.5,0.1,420.0,2.7
0,marcusstroman-SP,,@WSH,,,88.4,-0.5,277.0,9.9
0,markcanha-OF,,@DET,,,7.6,-0.8,313.0,2.3
0,markleiterjr-RP,,@WSH,,,1.4,0.1,84.0,1.8
0,martinperez-SP,,ARI,,,36.2,4.5,295.0,9.2
0,masatakayoshida-OF,,TOR,,,87.9,9.6,361.0,2.4
0,masonmiller-SP,,SEA,,,8.2,-1.9,0.0,0.0
0,masonthompson-RP,,CHC,,,2.4,1.6,29.0,1.1
0,mattbrash-RP,,@OAK,,,1.8,0.0,94.0,1.7
0,mattchapman-3B,,@BOS,,,95.2,0.8,318.0,2.1
0,matthewboyd-RP,,NYM,,,4.9,-0.7,221.0,8.5
0,mattmoore-RP,,@STL,,,2.1,1.7,122.0,2.5
0,mattolson-1B,,@MIA,,,99.4,0.0,462.0,2.9
0,mattstrahm-RP,,@LAD,,,18.3,9.1,83.0,1.8
0,mauriciodubon-OF,,SF,,,23.4,7.0,142.0,1.6
0,maxfried-SP,,@MIA,,,98.1,0.5,384.0,13.7
0,maxkepler-OF,,@CHW,,,3.4,0.3,259.0,2.2
0,maxmuncy-3B,,PHI,,,94.8,1.8,328.0,2.4
0,maxscherzer-SP,,@DET,,,99.8,0.0,441.0,15.8
0,merrillkelly-SP,,@TEX,,,66.7,-2.4,334.0,10.4
0,michaelbrantley-OF,IL10,SF,,,12.0,0.1,283.0,2.5
0,michaelconforto-OF,,@HOU,,,8.4,-2.2,265.0,2.1
0,michaelfulmer-RP,,@WSH,,,1.5,-0.9,145.0,2.5
0,michaelharrisii-OF,,@MIA,,,89.2,-1.3,370.0,2.7
0,michaelking-RP,,CLE,,,4.1,0.5,111.0,4.8
0,michaelkopech-SP,,MIN,,,16.8,-2.6,264.0,9.4
0,michaelsoroka-SP,,@MIA,,,4.5,-0.3,140.0,7.0
0,michaelwacha-SP,,CIN,,,8.6,-0.9,229.0,8.8
0,miguelvargas-1B,,PHI,,,17.3,-1.3,268.0,2.9
0,mikeclevinger-SP,,MIN,,,9.6,-5.2,192.0,7.4
0,miketrout-OF,,@STL,,,99.8,0.0,424.0,3.1
0,mikeyastrzemski-OF,IL10,@HOU,,,12.9,0.9,287.0,1.9
0,mikezunino-C,,@NYY,,,3.8,-1.6,189.0,1.7
0,milesmikolas-SP,,LAA,,,23.0,-1.8,307.0,9.6
0,mitchhaniger-OF,,@HOU,,,17.6,1.8,273.0,2.5
0,mitchkeller-SP,,@TB,,,38.1,10.9,224.0,7.2
0,mjmelendez-C,,BAL,,,59.1,-7.9,329.0,2.2
0,mookiebetts-OF,,PHI,,,99.9,0.0,478.0,3.3
0,mylesstraw-OF,,@NYY,,,12.0,-7.3,230.0,1.7
0,nathaneovaldi-SP,,ARI,,,58.1,1.4,302.0,11.2
0,nathaniellowe-1B,,ARI,,,84.1,0.2,329.0,2.1
0,nelsoncruz-DH,,CIN,,,3.7,-0.2,196.0,2.0
0,nestorcortes-SP,,CLE,,,95.8,-1.2,361.0,12.4
0,nickanderson-RP,,@MIA,,,1.2,-0.1,71.0,1.4
0,nickcastellanos-OF,,@LAD,,,85.9,6.0,304.0,2.2
0,nicklodolo-SP,,@SD,,,83.2,-7.0,319.0,10.6
0,nickmartinez-RP,,CIN,,,8.9,0.7,223.0,8.6
0,nickpivetta-SP,,TOR,,,9.3,-1.6,292.0,9.4
0,nicksenzel-OF,,@SD,,,6.0,5.6,216.0,1.5
0,nicohoerner-SS,,@WSH,,,92.0,5.6,324.0,2.3
0,noahsyndergaard-SP,,PHI,,,15.3,-5.8,224.0,9.0
0,nolanarenado-3B,,LAA,,,97.9,-1.2,434.0,2.9
0,nolangorman-2B,,LAA,,,45.0,-1.7,71.0,1.8
0,oneilcruz-SS,IL60,@TB,,,59.0,-2.6,342.0,2.5
0,orlandoarcia-2B,IL10,@MIA,,,21.8,-0.9,134.0,1.8
0,oscarcolas-OF,,MIN,,,4.3,-2.6,207.0,2.5
0,oscargonzalez-OF,,@NYY,,,7.9,-1.2,275.0,2.1
0,oswaldocabrera-OF,,CLE,,,3.9,-0.9,169.0,2.2
0,oswaldperaza-SS,,CLE,,,2.3,-0.7,175.0,2.1
0,ozziealbies-2B,,@MIA,,,98.6,0.6,380.0,2.7
0,pablolopez-SP,,@CHW,,,96.2,-0.8,359.0,11.6
0,patricksandoval-SP,,@STL,,,47.8,-1.7,309.0,11.0
0,patrickwisdom-3B,,@WSH,,,55.0,1.7,177.0,1.6
0,pauldejong-SS,,LAA,,,2.4,1.9,67.0,1.6
0,paulgoldschmidt-1B,,LAA,,,99.6,0.1,451.0,2.9
0,paulsewald-RP,,@OAK,,,68.3,6.8,253.0,4.0
0,petealonso-1B,,@DET,,,99.8,0.0,464.0,3.0
0,petefairbanks-RP,DTD,PIT,,,26.4,-2.8,225.0,4.4
0,peterstrzelecki-RP,,@COL,,,4.1,3.0,78.0,2.0
0,piercejohnson-RP,,MIL,,,4.7,-3.1,122.0,2.0
