id,name,pos,team,img
clayholmes-RP,Clay Holmes,RP,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32827.png&w=96&h=70&cb=1
claytonkershaw-SP,Clayton Kershaw,SP,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28963.png&w=96&h=70&cb=1
codybellinger-OF,Cody Bellinger,OF,CHC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33912.png&w=96&h=70&cb=1
coleirvin-SP,Cole Irvin,SP,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39869.png&w=96&h=70&cb=1
colinholderman-RP,Colin Holderman,RP,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4917897.png&w=96&h=70&cb=1
colinrea-SP,Colin Rea,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33950.png&w=96&h=70&cb=1
collinmchugh-RP,Collin McHugh,RP,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32569.png&w=96&h=70&cb=1
coltoncowser-OF,Colton Cowser,OF,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4416990.png&w=96&h=70&cb=1
connorjoe-OF,Connor Joe,OF,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35440.png&w=96&h=70&cb=1
corbinburnes-SP,Corbin Burnes,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39878.png&w=96&h=70&cb=1
corbincarroll-OF,Corbin Carroll,OF,ARI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42404.png&w=96&h=70&cb=1
coreyjulks-3B,Corey Julks,3B,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41526.png&w=96&h=70&cb=1
coreykluber-SP,Corey Kluber,SP,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30981.png&w=96&h=70&cb=1
coreyseager-SS,Corey Seager,SS,TEX,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32691.png&w=96&h=70&cb=1
craigkimbrel-RP,Craig Kimbrel,RP,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30653.png&w=96&h=70&cb=1
cristianjavier-SP,Cristian Javier,SP,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41261.png&w=96&h=70&cb=1
cristophersanchez-RP,Cristopher Sanchez,RP,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42359.png&w=96&h=70&cb=1
danedunning-SP,Dane Dunning,SP,TEX,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36080.png&w=96&h=70&cb=1
danielbard-RP,Daniel Bard,RP,COL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30158.png&w=96&h=70&cb=1
danielhudson-RP,Daniel Hudson,RP,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30376.png&w=96&h=70&cb=1
daniellynch-SP,Daniel Lynch,SP,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41227.png&w=96&h=70&cb=1
daniellynchiv-SP,Daniel Lynch IV,SP,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41227.png&w=96&h=70&cb=1
dannycoulombe-RP,Danny Coulombe,RP,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33638.png&w=96&h=70&cb=1
dannyjansen-C,Danny Jansen,C,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35004.png&w=96&h=70&cb=1
dansbyswanson-SS,Dansby Swanson,SS,CHC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34895.png&w=96&h=70&cb=1
daultonvarsho-C,Daulton Varsho,C,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40963.png&w=96&h=70&cb=1
davidbednar-RP,David Bednar,RP,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38303.png&w=96&h=70&cb=1
davidpeterson-SP,David Peterson,SP,NYM,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40921.png&w=96&h=70&cb=1
davidrobertson-RP,David Robertson,RP,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29172.png&w=96&h=70&cb=1
deankremer-SP,Dean Kremer,SP,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38295.png&w=96&h=70&cb=1
devinwilliams-RP,Devin Williams,RP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33224.png&w=96&h=70&cb=1
djlemahieu-3B,DJ LeMahieu,3B,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30765.png&w=96&h=70&cb=1
domingogerman-SP,Domingo German,SP,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33660.png&w=96&h=70&cb=1
dominicfletcher-OF,Dominic Fletcher,OF,ARI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42984.png&w=96&h=70&cb=1
drewrasmussen-SP,Drew Rasmussen,SP,TB,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42584.png&w=96&h=70&cb=1
drewsmith-RP,Drew Smith,RP,NYM,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39685.png&w=96&h=70&cb=1
drewsmyly-SP,Drew Smyly,SP,CHC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31816.png&w=96&h=70&cb=1
dreyjameson-SP,Drey Jameson,SP,ARI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4415753.png&w=96&h=70&cb=1
dustinmay-SP,Dustin May,SP,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40937.png&w=96&h=70&cb=1
dylancarlson-OF,Dylan Carlson,OF,STL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39226.png&w=96&h=70&cb=1
dylancease-SP,Dylan Cease,SP,CHW,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34943.png&w=96&h=70&cb=1
dylanfloro-RP,Dylan Floro,RP,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33852.png&w=96&h=70&cb=1
dylanlee-RP,Dylan Lee,RP,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41455.png&w=96&h=70&cb=1
eddierosario-OF,Eddie Rosario,OF,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31944.png&w=96&h=70&cb=1
edouardjulien-2B,Edouard Julien,2B,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3985190.png&w=96&h=70&cb=1
eduardorodriguez-SP,Eduardo Rodriguez,SP,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32675.png&w=96&h=70&cb=1
edwardcabrera-SP,Edward Cabrera,SP,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40944.png&w=96&h=70&cb=1
edwindiaz-RP,Edwin Diaz,RP,NYM,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35394.png&w=96&h=70&cb=1
eliasdiaz-C,Elias Diaz,C,COL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33594.png&w=96&h=70&cb=1
elimorgan-RP,Eli Morgan,RP,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41324.png&w=96&h=70&cb=1
ellydelacruz-SS,Elly De La Cruz,SS,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4917694.png&w=96&h=70&cb=1
eloyjimenez-OF,Eloy Jimenez,OF,CHW,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33867.png&w=96&h=70&cb=1
elvisandrus-SS,Elvis Andrus,SS,CHW,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29515.png&w=96&h=70&cb=1
emmanuelclase-RP,Emmanuel Clase,RP,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41743.png&w=96&h=70&cb=1
emmetsheehan-SP,Emmet Sheehan,SP,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4417806.png&w=96&h=70&cb=1
enriquehernandez-OF,Enrique Hernandez,OF,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31358.png&w=96&h=70&cb=1
ericlauer-SP,Eric Lauer,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39915.png&w=96&h=70&cb=1
erikswanson-RP,Erik Swanson,RP,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36013.png&w=96&h=70&cb=1
esteuryruiz-OF,Esteury Ruiz,OF,OAK,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39680.png&w=96&h=70&cb=1
